date,equity,open_positions
2016-07-12,5735878.718294997,100
2016-07-13,5727337.960508923,100
2016-07-14,5733961.505707364,100
2016-07-15,5731439.979584317,100
2016-07-18,5725073.611336331,100
2016-07-19,5725875.820863347,100
2016-07-20,5739975.655888213,100
2016-07-21,5738720.592962418,100
2016-07-22,5747305.413456116,100
2016-07-25,5757550.645530853,100
2016-07-26,5751774.0366764935,99
2016-07-27,5755626.336336852,100
2016-07-28,5765865.1834810395,100
2016-07-29,5774459.70181066,100
2016-08-01,5780838.073439079,100
2016-08-02,5772878.973716085,100
2016-08-03,5754299.8789100405,98
2016-08-04,5761118.247675928,100
2016-08-05,5782193.73504928,100
2016-08-08,5790996.766926798,100
2016-08-09,5783959.037648033,100
2016-08-10,5766530.090355614,100
2016-08-11,5765015.038465795,100
2016-08-12,5767658.70014452,100
2016-08-16,5769911.826797557,100
2016-08-17,5776481.965864253,100
2016-08-18,5787880.130124164,100
2016-08-19,5793626.810968471,100
2016-08-22,5792022.513319207,100
2016-08-23,5789220.926483964,100
2016-08-24,5792396.028618668,100
2016-08-25,5792466.240433549,100
2016-08-26,5796045.517822121,100
2016-08-29,5799910.596036767,100
2016-08-30,5816824.207023476,100
2016-08-31,5824296.311969613,100
2016-09-01,5821706.38508522,100
2016-09-02,5827322.391375928,100
2016-09-06,5841941.993285566,100
2016-09-07,5847467.967530637,100
2016-09-08,5859520.297290235,100
2016-09-09,5847614.294701009,100
2016-09-12,5813682.708531451,96
2016-09-14,5828891.672319717,94
2016-09-15,5827237.596995452,96
2016-09-16,5830630.417472309,96
2016-09-19,5836913.734940953,96
2016-09-20,5833385.649038887,97
2016-09-21,5834792.8736766195,99
2016-09-22,5854385.381394113,100
2016-09-23,5860056.642060431,99
2016-09-26,5856103.206899525,99
2016-09-27,5857094.695198576,100
2016-09-28,5865705.601324598,100
2016-09-29,5816732.987610611,84
2016-09-30,5836296.369594102,87
2016-10-03,5864120.056754337,97
2016-10-04,5874266.238452106,100
2016-10-05,5883410.984729915,100
2016-10-06,5879512.923751979,100
2016-10-07,5879245.043055682,100
2016-10-10,5881687.556600719,100
2016-10-13,5867257.992589438,100
2016-10-14,5878608.846017325,100
2016-10-17,5868343.108316016,100
2016-10-18,5885487.805671287,100
2016-10-19,5886862.047042919,100
2016-10-20,5887490.8597379085,100
2016-10-21,5894552.465661447,100
2016-10-24,5896316.054500024,100
2016-10-25,5898140.816457192,100
2016-10-26,5890000.901398714,100
2016-10-27,5877153.7489407575,94
2016-10-28,5887792.987595141,100
2016-11-01,5900354.26582398,100
2016-11-02,5874625.591239798,96
2016-11-03,5862852.1976789385,89
2016-11-04,5841037.168298557,73
2016-11-07,5849464.450378794,74
2016-11-08,5849620.05840646,73
2016-11-09,5835020.7902445095,67
2016-11-10,5852574.621356091,73
2016-11-11,5826192.996353107,72
2016-11-15,5786239.465557313,58
