symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
NESTLEIND,2014-07-23,2014-10-16,226.48844668897004,253.45427428826264,44,1186.496414368874,11.906049952439282,trail_stop
BBTC,2014-07-30,2014-10-16,196.8216442571344,217.33549145241824,50,1025.6923597641926,10.42255656013313,trail_stop
TATAINVEST,2014-03-05,2014-10-17,35.67934898725056,42.56831655927303,280,1928.9109201662905,19.307996831680217,trail_stop
BRIGADE,2014-04-09,2014-10-17,30.39695979455278,61.21078492337374,328,10106.934642253273,101.37140469667258,trail_stop
PERSISTENT,2014-07-10,2014-10-17,258.8922405398623,294.15044480435876,38,1339.8117620508656,13.61887254363951,trail_stop
HCLTECH,2014-07-23,2014-10-17,274.56276736009147,275.7968419491472,36,44.42668520600637,0.449469023393559,trail_stop
TCS,2014-07-23,2014-10-17,954.7813043112961,952.4345571562378,10,-23.46747155058256,-0.24578897224543103,trail_stop
CASTROLIND,2014-09-17,2014-10-17,140.06854784506478,131.58146221418355,71,-602.5830797925682,-6.059237253083493,trail_stop
BATAINDIA,2014-10-07,2014-10-17,641.3775239138902,558.8201525877406,15,-1238.3605698922438,-12.871884069519336,trail_stop
EXIDEIND,2014-07-23,2014-10-20,147.08989713781628,139.73295011465194,67,-492.91545055201095,-5.0016671208024785,trail_stop
WIPRO,2014-07-23,2014-10-20,92.32641812649668,92.24390152488776,108,-8.911792973762203,-0.08937485422195528,trail_stop
MUTHOOTFIN,2014-01-13,2014-10-21,106.84064483642578,149.58103495555932,93,3974.856281079419,40.00386761477297,trail_stop
ATUL,2014-04-29,2014-10-28,501.2043604250969,1153.9443163314186,19,12402.059162220112,130.23429312400629,trail_stop
KAJARIACER,2014-07-25,2014-10-28,282.0195052535446,274.81412654572233,35,-252.18825477377868,-2.5549221148176904,trail_stop
ASTRAL,2014-08-21,2014-10-28,175.29059637648425,162.6369650112151,57,-721.2569878203412,-7.21865954411612,trail_stop
ECLERX,2014-08-28,2014-10-31,332.3389639697984,319.74310250448593,30,-377.87584395937483,-3.790064612001726,trail_stop
DEEPAKFERT,2014-02-13,2014-11-05,86.46076577272345,112.73811168056602,115,3021.894779401895,30.39221972300934,trail_stop
ESCORTS,2014-10-29,2014-11-13,163.8308906202612,141.10291117039233,61,-1386.4067464420004,-13.872829088471098,trail_stop
DCMSHRIRAM,2014-02-20,2014-11-17,55.997546942343625,165.69875272870507,178,19526.814629972338,195.90359181146337,trail_stop
JBMA,2014-02-20,2014-11-17,3.4963548730444054,45.97687926318254,2860,121494.29975579506,1214.9946424960224,trail_stop
TRIDENT,2014-10-10,2014-11-17,2.415860064039497,2.1449225712311053,4139,-1121.4102827339339,-11.21494977467214,trail_stop
TITAN,2014-02-26,2014-11-20,231.98413483600095,346.2015823698372,43,4911.3502439549575,49.23502532385725,trail_stop
JBCHEPHARM,2014-07-23,2014-11-21,75.17662787913704,86.17973227098152,133,1463.412884115316,14.636336720947888,trail_stop
SUNDARMFIN,2014-09-17,2014-11-24,835.3328907292371,898.1306448192304,11,690.7752949899277,7.5176920227780855,trail_stop
TVSMOTOR,2014-08-12,2014-11-25,169.95262380029217,206.21785350083016,58,2103.3833226312036,21.338434729405833,trail_stop
UNIONBANK,2014-10-28,2014-11-25,186.8427105319854,165.05798602904517,53,-1154.5903986558315,-11.659392245442143,trail_stop
NTPC,2014-11-03,2014-11-25,83.65882626181387,78.3200900115771,119,-635.3096137781777,-6.381557677523449,trail_stop
GAIL,2014-10-22,2014-12-02,60.81441870982721,58.25799703392457,164,-419.25315484803286,-4.203644020837346,trail_stop
CEATLTD,2014-10-22,2014-12-03,786.3565083574911,762.8724169294806,12,-281.8090971361253,-2.986443321625587,trail_stop
ASAHIINDIA,2014-11-05,2014-12-05,122.39259212637236,116.31875245302628,81,-491.98101354103346,-4.962587659778259,trail_stop
INFY,2014-08-05,2014-12-08,314.4534543778799,361.50336284349515,31,1458.5471624340717,14.962439690382654,trail_stop
SONATSOFTW,2014-08-14,2014-12-08,21.59212689556357,33.417258981996646,463,5475.036156018514,54.7659438258615,trail_stop
DIVISLAB,2014-09-30,2014-12-08,817.2760333328202,761.8751368792339,12,-664.810757443036,-6.778725203486465,trail_stop
BPCL,2014-11-03,2014-12-08,62.969624491863684,59.750011076721705,158,-508.6989195924325,-5.112962704038333,trail_stop
DRREDDY,2014-11-26,2014-12-08,665.9005674506988,619.3992678364351,15,-697.5194942139551,-6.983219700846176,trail_stop
BLUESTARCO,2014-03-21,2014-12-09,80.44331662167626,146.7190306547734,124,8218.188540104045,82.38809240647157,trail_stop
EMAMILTD,2014-08-13,2014-12-09,244.8495541330111,305.3693191192962,40,2420.790599451404,24.71712280652493,trail_stop
ABFRL,2014-09-29,2014-12-09,133.0704803466797,109.85707092285156,75,-1741.0057067871094,-17.444447005340155,trail_stop
POWERGRID,2014-09-30,2014-12-09,48.39023505829017,46.87531273437153,206,-312.0739987272409,-3.1306364230175605,trail_stop
COLPAL,2014-10-01,2014-12-09,695.3336470033087,723.5604193970471,14,395.174813512338,4.05945728577753,trail_stop
FEDERALBNK,2014-10-14,2014-12-09,61.82551619183712,61.73539449308947,161,-14.509593498371032,-0.14576780639891368,trail_stop
LT,2014-11-03,2014-12-09,928.4752917205377,866.4278977201134,10,-620.4739400042417,-6.682718921409904,trail_stop
IFCI,2014-11-05,2014-12-09,35.682786114734,34.70581409193005,280,-273.552166385105,-2.737936493138743,trail_stop
