A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
GODREJPROP,PRESTIGE,425,1,750,1.9462,0.658,-1.854,0.354,FAIL,179.0,9.3,227871,False,False,2318,Real Estate
GODREJPROP,BRIGADE,425,1,1000,3.0901,0.792,-2.226,0.197,FAIL,126.5,23.9,211164,False,False,2318,Real Estate
GODREJPROP,PHOENIXLTD,425,1,500,1.7111,0.723,-2.266,0.1831,FAIL,130.0,31.2,206420,False,False,2318,Real Estate
OBEROIRLTY,PRESTIGE,800,1,750,1.1796,0.831,-1.873,0.345,FAIL,86.6,20.5,252640,False,False,2318,Real Estate
OBEROIRLTY,BRIGADE,800,1,1000,1.8271,0.953,-4.414,0.0003,1%,25.7,31.6,235932,True,False,2318,Real Estate
OBEROIRLTY,PHOENIXLTD,800,2,500,1.039,0.917,-3.047,0.0307,5%,37.1,20.3,313078,True,False,2318,Real Estate
PRESTIGE,BRIGADE,750,1,1000,1.3713,0.899,-1.169,0.6867,FAIL,63.8,2.8,189974,False,False,2318,Real Estate
PRESTIGE,PHOENIXLTD,750,1,500,0.7969,0.903,-2.36,0.1533,FAIL,51.5,16.3,185230,False,False,2318,Real Estate
BRIGADE,PHOENIXLTD,1000,1,500,0.5636,0.945,-3.067,0.0291,5%,32.3,11.3,168523,True,False,2318,Real Estate
TATAPOWER,TORNTPOWER,4950,3,500,0.3435,0.866,-2.195,0.2082,FAIL,109.0,11.8,423508,False,False,2318,Power — Private
