,LiqFund,ME_cap3pct,Daily_cap3pct,Daily_cap5pct,NoCap
2022-11-30,131172499.52639617,182315993.26820317,120392397.14387767,117229547.37061284,91279697.6410212
2022-12-30,129482482.35079199,179967046.9484862,118841270.04238969,115719170.20116064,90103656.49402577
2023-01-31,125902180.71562271,174990803.82456595,115555207.04967038,112519435.9454549,87612213.15108529
2023-02-28,126339316.92913935,175386063.4530017,114605326.35726528,112773839.65622286,87810302.23629034
2023-03-31,126965621.31891075,178172941.25219196,116426684.03584398,114566090.55179082,89205821.74066147
2023-04-28,127533983.81446873,177127699.47694257,115394206.18401577,113050677.35238466,87383125.66138764
2023-05-31,136395692.6489379,189435431.52087757,123412381.62088656,120906012.50519976,93454948.97856371
2023-06-30,152016767.45434353,211131021.67560792,137546508.64332187,134753091.02422765,104158122.37485987
2023-07-31,174885907.4525268,242893208.0022518,158238767.89275107,155025113.3506236,119827490.44804959
2023-08-31,200271972.4808775,278151067.6154609,181208369.67625603,177528227.9004034,137221393.1873197
2023-09-29,214050575.98130316,297287710.7833383,193675407.60372275,189742074.06205955,146662150.89835995
2023-10-31,211327211.63608456,293505320.81261605,191211276.4179242,187327986.65809178,144796169.1287778
2023-11-30,212128612.23421517,291557489.88327396,189233957.74658278,184044680.1500941,142155462.35471836
2023-12-29,226068794.7133092,310717397.4945673,201669601.73842627,196139307.07748872,151497309.570674
2024-01-31,262157899.75660458,360319611.77266496,233863675.45128596,227450537.20642048,175681993.37812397
2024-02-29,262132340.9553729,360284482.8013631,233840875.16488707,227428362.16200683,175664865.4519662
2024-03-28,253269760.91002333,348103421.6767152,225934817.2306764,219739108.49381232,169725713.01640815
2024-04-30,292413674.9271535,401904279.537607,260853999.9525948,253700718.19477618,195957540.66507348
2024-05-31,308007857.5824594,423337506.78533995,274765130.8962525,267230370.4598324,206407796.39465553
2024-06-28,333729409.6043167,458690168.8539282,297710602.6891218,289546618.91385955,223644788.05569047
2024-07-31,360548202.8895775,495550920.3084077,321634892.4956943,312814843.69603825,241617082.87772262
2024-08-30,358139662.3476985,492240532.203398,319486301.3446352,310725172.3924368,240003028.12704688
2024-09-30,355755170.1395693,488963197.02675164,317359163.0344955,308656365.63815993,238405089.08074057
2024-10-31,342973042.78842235,471394963.6488137,305956587.391339,297566477.6913977,229839298.71261716
2024-11-29,344218760.53132033,473223422.65104127,307144046.68119365,298721373.8199521,230731336.4123347
2024-12-31,345980348.8433634,479355574.70930725,311124883.3351192,302593045.78319794,233721802.19255808
2025-01-31,347695484.0563927,476704797.7340676,309406744.2374382,297184294.7787882,230336219.39058045
2025-02-28,349251945.3327579,492791318.28143114,319848441.69758654,307213515.38816947,238109486.0106032
2025-03-28,350815374.1189583,489900385.07503086,317506328.68706226,302553650.08129346,234276720.03950608
2025-04-30,349109475.1091609,487518161.7078317,315962400.5366157,301082431.8560932,233137509.9186906
2025-05-30,377482119.3736816,527139484.99132097,341641132.94164777,325551847.1610733,252084940.75416362
2025-06-30,400186221.8984007,558844904.394837,362189537.51730907,345132542.870106,267246883.65444326
2025-07-31,391264836.69719,546386527.8015871,354115215.60609496,337438473.9793501,261289126.334378
2025-08-29,384269742.8506059,536618144.13914424,347784288.4863009,331405696.25043714,256617758.5334031
2025-09-30,385850061.44554925,533177223.5133332,345762097.20157385,326468806.82708323,253851521.73655614
2025-10-31,387762843.571896,530228819.48430234,342581493.706396,324518966.979493,252335389.71382508
2025-11-28,386748495.41302973,528841794.8228689,341685335.36331743,323670058.3691665,251675305.99972996
2025-12-31,386902355.896375,529052184.404547,341821268.3313176,323798824.30417544,251775430.20108157
2026-01-30,375563430.4337741,513547281.9572842,331803531.7523794,314309270.473063,244396661.9075928
2026-02-27,376867398.1250561,514378027.91537756,329425752.00787854,309756543.7721547,244792558.2581382
2026-03-30,378735650.3172049,531566488.9240923,340434660.7963927,320108137.4658726,252973154.12699553
2026-04-30,380613164.03282547,528626992.05790186,338419410.3516686,315438789.81970596,241124695.14434123
2026-05-29,382377973.0207197,530240193.11996263,339452941.25056183,316402138.03796977,241861088.5523285
2026-06-18,383599848.1145412,527240500.75018394,236273182.22765532,220228876.91723973,168345246.43910065
